title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;269.682;297.140;525.950;310.100;50.183(16.183%);1968.239
UNROLL4;1.250;0.001;0.000;80;100;488.770;151.960;350.040;166.811;45.282(27.146%);3658.943
UNROLL8;1.250;0.001;0.000;80;100;426.503;136.580;346.660;151.485;48.744(32.178%);4029.134
