title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;2031.722;22.410;25.790;22.581;0.580(2.571%);27029.176
UNROLL4;1.250;0.001;0.000;80;100;489.186;15.670;187.570;21.209;29.868(140.824%);28777.416
UNROLL8;1.250;0.001;0.000;80;100;516.130;35.660;37.730;37.009;0.336(0.907%);16492.071
