title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;6352.961;296.760;471.860;305.221;30.352(9.944%);1999.706
UNROLL4;1.250;0.001;0.000;80;100;499.184;160.140;367.760;172.505;47.550(27.564%);3538.177
UNROLL8;1.250;0.001;0.000;80;100;906.648;144.040;641.430;165.099;91.270(55.282%);3696.873
