title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;1338.348;332.360;335.530;332.530;0.543(0.163%);1835.478
UNROLL4;1.250;0.001;0.000;80;100;181.539;178.570;180.390;178.873;0.323(0.181%);3412.200
UNROLL8;1.250;0.001;0.000;80;100;241.596;161.720;163.690;162.001;0.339(0.209%);3767.581
