title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;977.781;297.140;666.080;314.775;70.253(22.318%);1939.010
UNROLL4;1.250;0.001;0.000;80;100;421.522;151.490;153.550;151.877;0.340(0.224%);4018.724
UNROLL8;1.250;0.001;0.000;80;100;265.619;139.080;144.160;139.480;0.861(0.617%);4375.907
