title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;403.597;61.070;241.920;72.363;42.537(58.782%);8434.577
UNROLL4;1.250;0.001;0.000;80;100;189.410;21.740;22.940;21.843;0.206(0.941%);27942.235
UNROLL8;1.250;0.001;0.000;80;100;291.554;19.050;24.090;19.283;0.871(4.518%);31652.761
