title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;4991832.340;5431011.420;5024494.483;105732.839(2.104%);9.718
IKJ;150.000;0.146;0.000;80;100;4959187.960;5307654.760;4981975.117;80475.716(1.615%);9.801
IEX;150.000;0.146;0.000;80;100;4142389.380;4146333.800;4143149.304;701.559(0.017%);11.785
UNROLL4;150.000;0.146;0.000;80;100;3483918.180;3596014.940;3490479.481;21309.896(0.611%);13.989
UNROLL8;150.000;0.146;0.000;80;100;3397175.930;3473443.000;3400372.928;13130.980(0.386%);14.360
CBLAS;150.000;0.146;0.000;80;100;878062.420;879747.220;878579.095;479.436(0.055%);55.576
