title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;4134852.290;4136692.020;4135330.639;456.142(0.011%);11.808
IKJ;150.000;0.146;0.000;80;100;4112007.070;4181999.600;4114670.028;12129.431(0.295%);11.867
IEX;150.000;0.146;0.000;80;100;4450479.550;4528209.870;4453345.025;13445.183(0.302%);10.964
UNROLL4;150.000;0.146;0.000;80;100;2724642.530;2797355.930;2727283.322;12582.569(0.461%);17.904
UNROLL8;150.000;0.146;0.000;80;100;2602527.150;2605236.760;2603082.958;493.844(0.019%);18.758
CBLAS;150.000;0.146;0.000;80;100;158884.580;196206.560;160193.218;6471.031(4.040%);304.808
