title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;460.824;68.390;74.400;68.796;1.052(1.530%);8871.897
UNROLL4;1.250;0.001;0.000;80;100;365.159;24.340;26.040;24.476;0.291(1.188%);24936.366
UNROLL8;1.250;0.001;0.000;80;100;189.513;21.330;22.830;21.477;0.283(1.319%);28419.287
