title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;413224.600;415391.860;413620.395;357.445(0.086%);118.051
IKJ;150.000;0.146;0.000;80;100;352781.370;353362.910;352927.445;114.901(0.033%);138.352
IEX;150.000;0.146;0.000;80;100;353292.920;353922.270;353436.052;136.995(0.039%);138.153
UNROLL4;150.000;0.146;0.000;80;100;428804.970;477234.030;431230.050;9164.718(2.125%);113.230
UNROLL8;150.000;0.146;0.000;80;100;348999.810;349609.310;349165.152;143.053(0.041%);139.842
CBLAS;150.000;0.146;0.000;80;100;159001.990;198096.150;160346.574;6777.426(4.227%);304.516
