title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;704298.070;779426.610;706931.313;13020.320(1.842%);69.071
IKJ;150.000;0.146;0.000;80;100;875645.120;876375.710;875857.399;221.550(0.025%);55.749
IEX;150.000;0.146;0.000;80;100;679461.930;680182.020;679718.775;191.612(0.028%);71.836
UNROLL4;150.000;0.146;0.000;80;100;392868.220;401376.740;398757.411;2771.240(0.695%);122.451
UNROLL8;150.000;0.146;0.000;80;100;321985.290;322625.460;322153.340;128.251(0.040%);151.568
CBLAS;150.000;0.146;0.000;80;100;878061.840;878811.980;878379.196;191.477(0.022%);55.589
