title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;8140.987;80.500;84.170;80.828;0.637(0.788%);7551.279
UNROLL4;1.250;0.001;0.000;80;100;2019.615;35.690;37.560;35.846;0.317(0.884%);17026.875
UNROLL8;1.250;0.001;0.000;80;100;1268.832;39.280;42.150;39.453;0.494(1.252%);15470.334
CBLAS;1.250;0.001;0.000;80;100;1357.074;100.070;137.750;101.405;6.526(6.435%);6018.922
