title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;1686.541;137.380;144.600;138.697;1.336(0.964%);4400.602
UNROLL4;1.250;0.001;0.000;80;100;3658.583;64.760;66.150;64.948;0.237(0.364%);9397.560
UNROLL8;1.250;0.001;0.000;80;100;1788.740;64.800;837.370;88.425;134.449(152.050%);6902.513
CBLAS;1.250;0.001;0.000;80;100;2172.166;60.310;20406.440;677.013;3541.779(523.148%);901.536
