title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;2724.367;52.070;57.040;52.354;0.849(1.621%);11658.246
UNROLL4;1.250;0.001;0.000;80;100;15952.611;34.450;38.170;34.691;0.643(1.852%);17593.992
UNROLL8;1.250;0.001;0.000;80;100;8490.014;35.900;43.660;36.258;1.333(3.676%);16833.626
CBLAS;1.250;0.001;0.000;80;100;1427.733;58.270;19939.170;660.926;3460.784(523.627%);923.480
