title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;711288.150;712002.410;711510.439;207.179(0.029%);68.626
IKJ;150.000;0.146;0.000;80;100;671184.200;671851.520;671436.432;180.994(0.027%);72.722
IEX;150.000;0.146;0.000;80;100;671251.460;672040.260;671484.704;187.324(0.028%);72.717
UNROLL4;150.000;0.146;0.000;80;100;574712.610;650163.300;577509.362;13047.987(2.259%);84.549
UNROLL8;150.000;0.146;0.000;80;100;568017.460;568865.850;568266.767;206.531(0.036%);85.925
CBLAS;150.000;0.146;0.000;80;100;159001.030;196863.110;160316.501;6561.904(4.093%);304.573
