title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;598696.650;601067.800;598999.013;426.144(0.071%);81.516
IKJ;150.000;0.146;0.000;80;100;286670.750;287274.680;286817.830;151.255(0.053%);170.241
IEX;150.000;0.146;0.000;80;100;287006.630;287821.480;287255.674;168.399(0.059%);169.981
UNROLL4;150.000;0.146;0.000;80;100;338685.900;363767.830;339587.327;4343.728(1.279%);143.787
UNROLL8;150.000;0.146;0.000;80;100;323293.760;323939.350;323498.615;153.589(0.047%);150.938
CBLAS;150.000;0.146;0.000;80;100;878050.940;879003.060;878469.827;248.944(0.028%);55.583
