title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;833.730;332.340;333.790;332.469;0.244(0.073%);1835.816
UNROLL4;1.250;0.001;0.000;80;100;369.062;178.590;180.190;178.858;0.288(0.161%);3412.495
UNROLL8;1.250;0.001;0.000;80;100;618.941;161.330;163.580;161.614;0.390(0.241%);3776.609
