title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;221790.196;67.790;71.490;68.493;0.673(0.982%);8911.148
UNROLL4;1.250;0.001;0.000;80;100;2515.098;34.350;36.600;34.558;0.386(1.117%);17661.410
UNROLL8;1.250;0.001;0.000;80;100;68327.707;36.380;41.340;36.713;0.853(2.324%);16624.930
CBLAS;1.250;0.001;0.000;80;100;14006.870;59.900;21712.930;716.206;3769.281(526.284%);852.201
