title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;604.100;332.790;336.320;332.962;0.604(0.181%);1833.096
UNROLL4;1.250;0.001;0.000;80;100;904.432;169.830;429.420;177.960;45.143(25.367%);3429.718
UNROLL8;1.250;0.001;0.000;80;100;631.640;152.600;155.730;152.931;0.529(0.346%);3991.028
