title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;655175.350;659403.100;655588.645;718.753(0.110%);74.480
IKJ;150.000;0.146;0.000;80;100;329719.080;330342.790;329877.498;165.272(0.050%);148.019
IEX;150.000;0.146;0.000;80;100;329657.480;330420.680;329850.772;160.417(0.049%);148.031
UNROLL4;150.000;0.146;0.000;80;100;550042.800;550930.280;550313.332;222.920(0.041%);88.728
UNROLL8;150.000;0.146;0.000;80;100;499985.750;500989.900;500426.968;285.070(0.057%);97.573
CBLAS;150.000;0.146;0.000;80;100;878042.810;952593.130;880695.572;12909.037(1.466%);55.443
