title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;579.478;68.370;138.310;70.859;12.141(17.134%);8613.596
UNROLL4;1.250;0.001;0.000;80;100;320.257;24.350;27.010;24.502;0.452(1.846%);24910.768
UNROLL8;1.250;0.001;0.000;80;100;527.880;21.310;24.370;21.499;0.548(2.549%);28389.245
