title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;709689.690;712203.190;709963.130;431.270(0.061%);68.776
IKJ;150.000;0.146;0.000;80;100;878328.960;879627.400;878631.055;279.266(0.032%);55.573
IEX;150.000;0.146;0.000;80;100;875252.360;876143.660;875597.462;236.439(0.027%);55.765
UNROLL4;150.000;0.146;0.000;80;100;583606.610;585334.260;583912.137;330.531(0.057%);83.622
UNROLL8;150.000;0.146;0.000;80;100;573461.220;574156.950;573665.183;184.109(0.032%);85.116
CBLAS;150.000;0.146;0.000;80;100;877997.930;952789.100;880688.742;12945.428(1.470%);55.443
