title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;4475.371;400.020;402.950;400.555;0.483(0.120%);1523.763
UNROLL4;1.250;0.001;0.000;80;100;92320.195;275.380;355.890;277.992;13.987(5.032%);2195.569
UNROLL8;1.250;0.001;0.000;80;100;12687.023;258.910;261.800;259.143;0.494(0.191%);2355.269
CBLAS;1.250;0.001;0.000;80;100;1029.574;106.240;166.560;108.266;10.466(9.667%);5637.499
