title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;4137003.060;4439761.040;4147012.421;52559.384(1.267%);11.774
IKJ;150.000;0.146;0.000;80;100;4111587.480;4183317.440;4114159.342;12418.160(0.302%);11.868
IEX;150.000;0.146;0.000;80;100;3277073.900;3581632.520;3332206.110;105933.940(3.179%);14.653
UNROLL4;150.000;0.146;0.000;80;100;2724383.720;2725727.310;2724764.665;278.227(0.010%);17.920
UNROLL8;150.000;0.146;0.000;80;100;2602757.820;2670339.550;2605121.180;11710.556(0.450%);18.743
CBLAS;150.000;0.146;0.000;80;100;877997.280;879574.960;878533.972;387.774(0.044%);55.579
