title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;415603.280;417191.270;416083.357;356.930(0.086%);117.352
IKJ;150.000;0.146;0.000;80;100;427901.770;428656.010;428188.968;160.887(0.038%);114.034
IEX;150.000;0.146;0.000;80;100;427911.870;506295.480;430519.621;13603.796(3.160%);113.417
UNROLL4;150.000;0.146;0.000;80;100;412489.770;413391.480;412748.264;194.441(0.047%);118.300
UNROLL8;150.000;0.146;0.000;80;100;431622.550;432365.970;431810.315;158.602(0.037%);113.078
CBLAS;150.000;0.146;0.000;80;100;159040.800;197059.480;160356.292;6590.271(4.110%);304.498
