title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;709604.010;711990.980;709922.769;424.666(0.060%);68.779
IKJ;150.000;0.146;0.000;80;100;671452.400;696464.290;672461.020;4312.762(0.641%);72.611
IEX;150.000;0.146;0.000;80;100;671355.760;672201.230;671567.114;206.939(0.031%);72.708
UNROLL4;150.000;0.146;0.000;80;100;572001.750;572962.640;572256.048;216.845(0.038%);85.326
UNROLL8;150.000;0.146;0.000;80;100;567872.270;568705.050;568085.234;208.908(0.037%);85.952
CBLAS;150.000;0.146;0.000;80;100;878207.840;879053.810;878489.081;234.178(0.027%);55.582
