title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;6058.672;105.960;107.330;106.214;0.255(0.240%);5746.452
UNROLL4;1.250;0.001;0.000;80;100;1017.110;64.740;66.110;64.939;0.242(0.373%);9398.875
UNROLL8;1.250;0.001;0.000;80;100;2227.626;64.770;66.950;65.014;0.382(0.587%);9387.967
CBLAS;1.250;0.001;0.000;80;100;2856.046;102.750;138.710;104.055;6.223(5.980%);5865.672
