title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;655249.160;686826.970;656427.858;5461.368(0.832%);74.385
IKJ;150.000;0.146;0.000;80;100;329417.810;330205.950;329611.888;155.756(0.047%);148.138
IEX;150.000;0.146;0.000;80;100;329341.640;330002.610;329520.500;148.556(0.045%);148.179
UNROLL4;150.000;0.146;0.000;80;100;553631.960;554581.390;553907.883;225.491(0.041%);88.152
UNROLL8;150.000;0.146;0.000;80;100;495285.220;496017.080;495540.485;186.660(0.038%);98.535
CBLAS;150.000;0.146;0.000;80;100;878122.680;878925.810;878404.609;208.379(0.024%);55.587
