title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;656.088;25.090;32.140;25.385;1.215(4.787%);24043.645
UNROLL4;1.250;0.001;0.000;80;100;335.690;17.540;19.310;17.644;0.302(1.711%);34593.298
UNROLL8;1.250;0.001;0.000;80;100;1482.678;37.510;40.010;37.692;0.426(1.130%);16193.341
