title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;1350.126;356.500;716.450;391.526;97.070(24.793%);1558.904
UNROLL4;1.250;0.001;0.000;80;100;3262.876;245.790;484.110;266.420;60.301(22.634%);2290.940
UNROLL8;1.250;0.001;0.000;80;100;2427.278;231.120;433.580;243.217;47.216(19.413%);2509.491
CBLAS;1.250;0.001;0.000;80;100;4303.129;98.510;135.370;99.822;6.383(6.394%);6114.392
