title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;4091.111;71.860;324.350;90.335;58.735(65.019%);6756.501
UNROLL4;1.250;0.001;0.000;80;100;14742.182;31.870;33.770;32.023;0.325(1.016%);19059.949
UNROLL8;1.250;0.001;0.000;80;100;2068.895;35.420;37.410;35.719;0.315(0.881%);17087.690
CBLAS;1.250;0.001;0.000;80;100;1727.766;89.340;282.670;96.428;33.976(35.234%);6329.617
