title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;4014.395;357.190;1179.750;394.350;149.025(37.790%);1547.742
UNROLL4;1.250;0.001;0.000;80;100;1522.050;245.790;461.940;258.988;50.794(19.613%);2356.677
UNROLL8;1.250;0.001;0.000;80;100;4199.017;230.390;434.690;242.678;46.980(19.359%);2515.072
CBLAS;1.250;0.001;0.000;80;100;3906.085;54.910;20816.110;684.182;3614.035(528.228%);892.090
