title;KiB;MiB;GiB;n;r;d;min;max;mean;stddev(%);MiB/s
BASE;1.250;0.001;0.000;80;100;6888.620;94.600;262.090;103.180;28.558(27.678%);5915.388
UNROLL4;1.250;0.001;0.000;80;100;1367.826;57.790;58.930;57.973;0.200(0.345%);10528.253
UNROLL8;1.250;0.001;0.000;80;100;4178.302;58.170;260.140;64.627;35.103(54.316%);9444.224
CBLAS;1.250;0.001;0.000;80;100;1525.779;91.740;318.800;98.831;39.489(39.956%);6175.715
