title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;4129683.580;4131955.100;4130612.972;560.975(0.014%);11.821
IKJ;150.000;0.146;0.000;80;100;4112024.030;4139033.150;4114185.956;4550.848(0.111%);11.868
IEX;150.000;0.146;0.000;80;100;3275920.050;3289679.010;3277954.115;2781.635(0.085%);14.896
UNROLL4;150.000;0.146;0.000;80;100;2721610.050;2760880.210;2725499.363;9235.292(0.339%);17.915
UNROLL8;150.000;0.146;0.000;80;100;2602430.990;2604688.850;2603365.631;600.015(0.023%);18.756
CBLAS;150.000;0.146;0.000;80;100;158987.120;340631.440;164624.946;31596.511(19.193%);296.602
