title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;413194.530;415827.210;413643.528;545.197(0.132%);118.044
IKJ;150.000;0.146;0.000;80;100;352728.440;355225.600;353003.858;436.921(0.124%);138.322
IEX;150.000;0.146;0.000;80;100;353249.330;354178.200;353439.680;199.825(0.057%);138.151
UNROLL4;150.000;0.146;0.000;80;100;428566.390;453898.890;429563.535;4374.049(1.018%);113.669
UNROLL8;150.000;0.146;0.000;80;100;348901.960;349630.830;349112.498;156.179(0.045%);139.864
CBLAS;150.000;0.146;0.000;80;100;158965.260;197246.280;160255.553;6641.887(4.145%);304.689
