title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;3835483.030;3918965.090;3900005.701;23126.345(0.593%);12.520
IKJ;150.000;0.146;0.000;80;100;3860248.020;3889826.440;3882104.722;5787.568(0.149%);12.578
IEX;150.000;0.146;0.000;80;100;3082521.070;3105314.560;3095705.387;4026.054(0.130%);15.773
UNROLL4;150.000;0.146;0.000;80;100;3006519.680;3364015.630;3222657.618;137277.178(4.260%);15.152
UNROLL8;150.000;0.146;0.000;80;100;2453736.280;4299398.870;2522519.846;321258.648(12.736%);19.357
CBLAS;150.000;0.146;0.000;80;100;826177.730;834220.860;831442.804;1520.185(0.183%);58.727
