title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;711026.180;713277.990;711461.309;525.514(0.074%);68.631
IKJ;150.000;0.146;0.000;80;100;670886.180;672293.820;671262.235;365.342(0.054%);72.741
IEX;150.000;0.146;0.000;80;100;670920.620;672264.320;671221.211;350.263(0.052%);72.745
UNROLL4;150.000;0.146;0.000;80;100;574496.740;575805.190;574853.702;355.587(0.062%);84.940
UNROLL8;150.000;0.146;0.000;80;100;567873.590;569012.210;568155.492;309.381(0.054%);85.941
CBLAS;150.000;0.146;0.000;80;100;158991.120;197248.410;160250.822;6642.457(4.145%);304.698
