title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;4131292.280;4349344.730;4138981.532;37767.272(0.912%);11.797
IKJ;150.000;0.146;0.000;80;100;4111314.360;4113664.510;4112481.235;590.343(0.014%);11.873
IEX;150.000;0.146;0.000;80;100;3276456.990;3302246.150;3278330.741;4377.955(0.134%);14.894
UNROLL4;150.000;0.146;0.000;80;100;2721704.350;2723528.630;2722704.259;509.571(0.019%);17.934
UNROLL8;150.000;0.146;0.000;80;100;2603377.080;2682314.280;2606587.220;13606.464(0.522%);18.733
CBLAS;150.000;0.146;0.000;80;100;877307.720;879005.740;877755.292;463.649(0.053%);55.628
