title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;387903.390;393858.260;390624.652;1418.355(0.363%);125.000
IKJ;150.000;0.146;0.000;80;100;332175.030;335480.030;333652.235;935.681(0.280%);146.344
IEX;150.000;0.146;0.000;80;100;331461.860;336218.620;333895.549;1285.398(0.385%);146.238
UNROLL4;150.000;0.146;0.000;80;100;403064.090;407206.400;405203.440;920.776(0.227%);120.503
UNROLL8;150.000;0.146;0.000;80;100;327176.360;331990.630;329398.295;1237.113(0.376%);148.234
CBLAS;150.000;0.146;0.000;80;100;148400.390;185509.770;151267.695;6236.562(4.123%);322.793
