title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;709361.680;711344.550;709784.660;431.302(0.061%);68.793
IKJ;150.000;0.146;0.000;80;100;671125.320;672373.560;671501.182;378.157(0.056%);72.715
IEX;150.000;0.146;0.000;80;100;671045.790;672404.870;671363.469;382.237(0.057%);72.730
UNROLL4;150.000;0.146;0.000;80;100;571799.700;647332.910;574363.169;13102.538(2.281%);85.013
UNROLL8;150.000;0.146;0.000;80;100;567640.540;568941.810;567965.731;333.412(0.059%);85.970
CBLAS;150.000;0.146;0.000;80;100;877360.120;878944.400;877812.762;442.221(0.050%);55.625
