title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;598501.760;600430.960;598798.610;342.460(0.057%);81.543
IKJ;150.000;0.146;0.000;80;100;286448.550;287007.180;286672.726;145.140(0.051%);170.327
IEX;150.000;0.146;0.000;80;100;286936.430;287702.540;287116.998;161.616(0.056%);170.064
UNROLL4;150.000;0.146;0.000;80;100;390786.050;474924.030;402971.917;14225.388(3.530%);121.170
UNROLL8;150.000;0.146;0.000;80;100;322831.780;323564.410;323035.412;171.840(0.053%);151.154
CBLAS;150.000;0.146;0.000;80;100;877545.930;879002.780;877964.599;326.188(0.037%);55.615
