title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;388869.350;522280.950;396822.624;22988.342(5.793%);123.048
IKJ;150.000;0.146;0.000;80;100;393588.860;679551.000;418104.676;58099.076(13.896%);116.784
IEX;150.000;0.146;0.000;80;100;401031.240;420047.840;404786.052;3393.371(0.838%);120.627
UNROLL4;150.000;0.146;0.000;80;100;386943.680;582758.170;413836.257;48119.479(11.628%);117.989
UNROLL8;150.000;0.146;0.000;80;100;404190.000;644383.020;434821.950;47984.460(11.035%);112.295
CBLAS;150.000;0.146;0.000;80;100;149968.320;387790.130;186828.122;64039.366(34.277%);261.353
