title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;4693362.720;4880074.570;4717675.980;29873.811(0.633%);10.350
IKJ;150.000;0.146;0.000;80;100;4670448.650;4694089.180;4682700.678;5215.922(0.111%);10.427
IEX;150.000;0.146;0.000;80;100;3887850.530;3923856.000;3911457.563;7698.672(0.197%);12.483
UNROLL4;150.000;0.146;0.000;80;100;3281645.700;3297180.730;3290980.397;3901.121(0.119%);14.837
UNROLL8;150.000;0.146;0.000;80;100;3197473.550;3213877.940;3207625.556;4442.776(0.139%);15.223
CBLAS;150.000;0.146;0.000;80;100;827735.550;835098.470;831609.006;1686.584(0.203%);58.715
