title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;4988606.480;4995963.720;4989559.299;1251.933(0.025%);9.786
IKJ;150.000;0.146;0.000;80;100;4960615.370;5379299.010;4979847.745;76589.217(1.538%);9.805
IEX;150.000;0.146;0.000;80;100;4145564.460;4149111.950;4146987.432;1016.611(0.025%);11.774
UNROLL4;150.000;0.146;0.000;80;100;3486365.160;3488943.470;3487547.772;620.897(0.018%);14.001
UNROLL8;150.000;0.146;0.000;80;100;3397017.260;3401944.900;3398374.497;865.018(0.025%);14.368
CBLAS;150.000;0.146;0.000;80;100;877297.230;902774.760;878481.553;4371.396(0.498%);55.582
