title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;655051.950;656029.670;655351.719;237.214(0.036%);74.507
IKJ;150.000;0.146;0.000;80;100;329286.540;329977.220;329558.427;214.787(0.065%);148.162
IEX;150.000;0.146;0.000;80;100;329232.710;329865.330;329417.665;164.915(0.050%);148.226
UNROLL4;150.000;0.146;0.000;80;100;549929.370;551137.570;550309.924;262.558(0.048%);88.728
UNROLL8;150.000;0.146;0.000;80;100;499719.770;501458.770;500404.384;403.627(0.081%);97.577
CBLAS;150.000;0.146;0.000;80;100;877505.550;880011.890;877904.353;437.244(0.050%);55.619
