title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;704082.410;705992.850;704433.802;393.364(0.056%);69.315
IKJ;150.000;0.146;0.000;80;100;874941.590;877218.870;875389.119;463.864(0.053%);55.779
IEX;150.000;0.146;0.000;80;100;679215.060;680064.720;679552.916;254.309(0.037%);71.853
UNROLL4;150.000;0.146;0.000;80;100;392681.890;401935.610;400422.315;2148.811(0.537%);121.942
UNROLL8;150.000;0.146;0.000;80;100;321911.210;322674.910;322119.232;202.276(0.063%);151.584
CBLAS;150.000;0.146;0.000;80;100;877445.410;879322.080;877880.586;428.777(0.049%);55.620
