title;KiB;MiB;GiB;n;r;min;max;mean;stddev(%);MiB/s
IJK;150.000;0.146;0.000;80;100;709401.830;710944.670;709726.521;379.576(0.053%);68.799
IKJ;150.000;0.146;0.000;80;100;877683.860;878840.630;878044.747;316.606(0.036%);55.610
IEX;150.000;0.146;0.000;80;100;874618.710;878398.450;875188.908;702.189(0.080%);55.792
UNROLL4;150.000;0.146;0.000;80;100;583473.370;584463.610;583769.812;291.573(0.050%);83.643
UNROLL8;150.000;0.146;0.000;80;100;573279.860;574474.170;573579.936;325.413(0.057%);85.129
CBLAS;150.000;0.146;0.000;80;100;877438.180;878866.460;877913.258;412.033(0.047%);55.618
